PRODLIST-Ind 2022,NCM 2022 (SET/2022),PRODLIST Ind 2019,NCM 2019,PRODLIST Ind 2016,NCM 2016
1041.2080,1507.10.00,,,,
1041.2097,1508.10.00,,,,
1041.2097,1509.20.00,,,,
1041.2097,1509.30.00,,,,
1041.2097,1509.40.00,,,,
1041.2097,1510.10.00,,,,
1041.2097,1510.90.00,,,,
1041.2097,1512.11.20,,,,
1041.2097,1513.21.11,,,,
1041.2097,1513.21.19,,,,
1041.2097,1513.21.20,,,,
1041.2097,1514.91.00,,,,
1041.2097,1515.11.00,,,,
1041.2097,1515.30.00,,,,
1041.2097,1515.50.00,,,,
1041.2097,1515.90.10,,,,
1041.2097,1515.90.21,,,,
1041.2097,1515.90.90,,,,
1041.2097,1905.40.00,,,,
1041.2100,2305.00.00,,,,
1041.2100,2306.20.00,,,,
1041.2100,2306.30.10,,,,
1041.2100,2306.30.90,,,,
1041.2100,2306.41.00,,,,
1041.2100,2306.49.00,,,,
1041.2100,2306.50.00,,,,
1041.2100,2306.60.00,,,,
1041.2100,2306.90.10,,,,
1041.2100,2306.90.90,,,,
1041.2110,2306.10.00,,,,
1041.2120,2304.00.10,,,,
1041.2120,2304.00.90,,,,
1042.2015,1509.90.10,,,,
1042.2015,1509.90.90,,,,
1042.2020,1521.10.00,,,,
1042.2030,1512.29.10,,,,
